state,crop,year,water_m3_per_ton
Andhra Pradesh,Rice,2010,2844.0
Andhra Pradesh,Rice,2011,2680.0
Andhra Pradesh,Rice,2012,2382.5
Andhra Pradesh,Rice,2013,2558.8
Andhra Pradesh,Rice,2014,2757.5
Andhra Pradesh,Rice,2015,2230.1
Andhra Pradesh,Rice,2016,2526.9
Andhra Pradesh,Rice,2017,2590.6
Andhra Pradesh,Rice,2018,2485.4
Andhra Pradesh,Rice,2019,2022.1
Andhra Pradesh,Rice,2020,2178.3
Andhra Pradesh,Rice,2021,2356.5
Andhra Pradesh,Rice,2022,2509.7
Andhra Pradesh,Rice,2023,2651.3
Andhra Pradesh,Rice,2024,2689.5
Andhra Pradesh,Rice,2025,2901.3
Andhra Pradesh,Wheat,2010,1418.4
Andhra Pradesh,Wheat,2011,1459.0
Andhra Pradesh,Wheat,2012,1298.4
Andhra Pradesh,Wheat,2013,1736.0
Andhra Pradesh,Wheat,2014,1501.8
Andhra Pradesh,Wheat,2015,1554.0
Andhra Pradesh,Wheat,2016,1351.1
Andhra Pradesh,Wheat,2017,1159.7
Andhra Pradesh,Wheat,2018,1546.7
Andhra Pradesh,Wheat,2019,1740.5
Andhra Pradesh,Wheat,2020,1327.5
Andhra Pradesh,Wheat,2021,1577.4
Andhra Pradesh,Wheat,2022,1565.6
Andhra Pradesh,Wheat,2023,1551.2
Andhra Pradesh,Wheat,2024,1469.6
Andhra Pradesh,Wheat,2025,1504.9
Andhra Pradesh,Maize,2010,832.1
Andhra Pradesh,Maize,2011,850.9
Andhra Pradesh,Maize,2012,962.9
Andhra Pradesh,Maize,2013,806.2
Andhra Pradesh,Maize,2014,758.2
Andhra Pradesh,Maize,2015,774.9
Andhra Pradesh,Maize,2016,820.5
Andhra Pradesh,Maize,2017,1004.9
Andhra Pradesh,Maize,2018,786.9
Andhra Pradesh,Maize,2019,945.0
Andhra Pradesh,Maize,2020,912.8
Andhra Pradesh,Maize,2021,1106.6
Andhra Pradesh,Maize,2022,882.9
Andhra Pradesh,Maize,2023,923.1
Andhra Pradesh,Maize,2024,782.2
Andhra Pradesh,Maize,2025,868.7
Andhra Pradesh,Sugarcane,2010,15624.0
Andhra Pradesh,Sugarcane,2011,15497.1
Andhra Pradesh,Sugarcane,2012,15382.7
Andhra Pradesh,Sugarcane,2013,15883.5
Andhra Pradesh,Sugarcane,2014,18060.1
Andhra Pradesh,Sugarcane,2015,14153.2
Andhra Pradesh,Sugarcane,2016,13583.7
Andhra Pradesh,Sugarcane,2017,15646.9
Andhra Pradesh,Sugarcane,2018,13098.4
Andhra Pradesh,Sugarcane,2019,13449.0
Andhra Pradesh,Sugarcane,2020,15627.4
Andhra Pradesh,Sugarcane,2021,14318.5
Andhra Pradesh,Sugarcane,2022,15786.5
Andhra Pradesh,Sugarcane,2023,16152.3
Andhra Pradesh,Sugarcane,2024,16616.5
Andhra Pradesh,Sugarcane,2025,15771.2
Andhra Pradesh,Cotton,2010,7834.3
Andhra Pradesh,Cotton,2011,6686.0
Andhra Pradesh,Cotton,2012,6929.1
Andhra Pradesh,Cotton,2013,6244.0
Andhra Pradesh,Cotton,2014,6330.7
Andhra Pradesh,Cotton,2015,6638.9
Andhra Pradesh,Cotton,2016,7515.4
Andhra Pradesh,Cotton,2017,6240.9
Andhra Pradesh,Cotton,2018,8207.5
Andhra Pradesh,Cotton,2019,6114.8
Andhra Pradesh,Cotton,2020,6996.3
Andhra Pradesh,Cotton,2021,8163.4
Andhra Pradesh,Cotton,2022,8511.5
Andhra Pradesh,Cotton,2023,7599.6
Andhra Pradesh,Cotton,2024,8545.1
Andhra Pradesh,Cotton,2025,7826.8
Andhra Pradesh,Pulses,2010,1071.9
Andhra Pradesh,Pulses,2011,1137.4
Andhra Pradesh,Pulses,2012,1034.8
Andhra Pradesh,Pulses,2013,1272.2
Andhra Pradesh,Pulses,2014,1241.4
Andhra Pradesh,Pulses,2015,1338.3
Andhra Pradesh,Pulses,2016,1098.6
Andhra Pradesh,Pulses,2017,1333.0
Andhra Pradesh,Pulses,2018,1405.5
Andhra Pradesh,Pulses,2019,1363.1
Andhra Pradesh,Pulses,2020,1102.1
Andhra Pradesh,Pulses,2021,1147.4
Andhra Pradesh,Pulses,2022,1084.2
Andhra Pradesh,Pulses,2023,1213.0
Andhra Pradesh,Pulses,2024,1157.6
Andhra Pradesh,Pulses,2025,1110.9
