household_id,state,year,daily_water_liters_per_person,diet_profile,laundry_per_week,showers_per_week,bottled_water_per_week
1,Andhra Pradesh,2018,245,Vegetarian,2,10,2
2,Andhra Pradesh,2018,168,Vegetarian,4,8,2
3,Andhra Pradesh,2018,147,Vegetarian,3,5,1
4,Andhra Pradesh,2018,213,Vegetarian,2,5,0
5,Andhra Pradesh,2018,126,Mixed,3,12,0
6,Andhra Pradesh,2018,175,Mixed,4,7,0
7,Andhra Pradesh,2018,145,Mixed,2,9,1
8,Andhra Pradesh,2018,215,High Dairy,2,11,1
9,Andhra Pradesh,2018,231,Mixed,1,5,0
10,Andhra Pradesh,2018,244,Vegetarian,2,8,0
11,Andhra Pradesh,2018,119,High Meat,0,10,0
12,Andhra Pradesh,2018,190,Vegetarian,3,7,0
13,Andhra Pradesh,2018,186,Vegetarian,1,5,1
14,Andhra Pradesh,2018,132,Mixed,1,13,1
15,Andhra Pradesh,2018,181,Vegetarian,3,4,0
16,Andhra Pradesh,2018,137,Mixed,1,6,1
17,Andhra Pradesh,2018,175,Vegetarian,0,6,1
18,Andhra Pradesh,2018,250,Mixed,2,8,0
19,Andhra Pradesh,2018,215,High Dairy,0,7,1
20,Andhra Pradesh,2018,172,Mixed,2,5,0
21,Andhra Pradesh,2018,156,Vegetarian,2,3,1
22,Andhra Pradesh,2018,211,Mixed,1,5,2
23,Andhra Pradesh,2018,143,Mixed,2,6,1
24,Andhra Pradesh,2018,152,High Dairy,2,5,0
25,Andhra Pradesh,2018,183,Vegetarian,1,6,0
26,Andhra Pradesh,2018,109,Mixed,2,6,1
27,Andhra Pradesh,2018,155,Mixed,0,9,0
28,Andhra Pradesh,2018,132,Vegetarian,1,8,2
29,Andhra Pradesh,2018,243,Mixed,3,9,0
30,Andhra Pradesh,2018,248,Vegetarian,3,6,1
31,Arunachal Pradesh,2018,188,Mixed,2,8,0
32,Arunachal Pradesh,2018,206,High Dairy,3,3,0
33,Arunachal Pradesh,2018,108,Vegetarian,1,12,0
34,Arunachal Pradesh,2018,164,Vegetarian,1,3,0
35,Arunachal Pradesh,2018,187,Vegetarian,0,7,0
36,Arunachal Pradesh,2018,180,High Meat,1,7,1
37,Arunachal Pradesh,2018,162,Mixed,3,7,1
38,Arunachal Pradesh,2018,95,Mixed,5,8,1
