state,year,month,total_consumption_ML,domestic_ML,agriculture_ML,industrial_ML,population_est
Andhra Pradesh,2015,1,967691.97,966360.47,1090.45,241.05,3121412
Andhra Pradesh,2015,2,946433.1,945222.82,1031.08,179.2,3121412
Andhra Pradesh,2015,3,758454.53,754983.98,3076.93,393.62,3121412
Andhra Pradesh,2015,4,1060853.53,1058979.72,1709.36,164.46,3121412
Andhra Pradesh,2015,5,1307631.11,1304707.1,2727.3,196.7,3121412
Andhra Pradesh,2015,6,809708.79,808670.23,918.0,120.56,3121412
Andhra Pradesh,2015,7,853976.25,852497.83,1319.75,158.68,3121412
Andhra Pradesh,2015,8,864241.3,862677.06,1250.85,313.4,3121412
Andhra Pradesh,2015,9,602434.24,599564.18,2729.8,140.26,3121412
Andhra Pradesh,2015,10,916462.19,913347.11,2527.95,587.12,3121412
Andhra Pradesh,2015,11,916033.76,914937.69,865.93,230.14,3121412
Andhra Pradesh,2015,12,903032.41,901464.18,1471.28,96.94,3121412
Andhra Pradesh,2016,1,822356.46,820198.94,1696.42,461.09,3152626
Andhra Pradesh,2016,2,974334.09,972785.37,1260.85,287.87,3152626
Andhra Pradesh,2016,3,1196231.09,1193791.11,2066.58,373.4,3152626
Andhra Pradesh,2016,4,1014776.54,1013659.76,1036.96,79.82,3152626
Andhra Pradesh,2016,5,763673.91,760776.88,2268.82,628.22,3152626
Andhra Pradesh,2016,6,848507.08,846868.49,1322.63,315.96,3152626
Andhra Pradesh,2016,7,778161.26,777016.29,892.82,252.15,3152626
Andhra Pradesh,2016,8,1002973.83,1000307.96,2102.64,563.23,3152626
Andhra Pradesh,2016,9,940464.16,938900.53,1249.05,314.58,3152626
Andhra Pradesh,2016,10,960331.4,958491.66,1707.4,132.35,3152626
Andhra Pradesh,2016,11,677616.91,675684.36,1837.48,95.07,3152626
Andhra Pradesh,2016,12,857774.09,855775.77,1807.58,190.75,3152626
Andhra Pradesh,2017,1,728761.56,726905.41,1573.41,282.74,3183840
Andhra Pradesh,2017,2,1116332.07,1114076.31,1744.66,511.09,3183840
Andhra Pradesh,2017,3,1327737.14,1326521.9,1083.86,131.38,3183840
Andhra Pradesh,2017,4,787914.32,785304.8,2219.6,389.92,3183840
Andhra Pradesh,2017,5,781889.89,780330.48,1435.62,123.78,3183840
Andhra Pradesh,2017,6,995802.43,992250.03,3198.88,353.52,3183840
Andhra Pradesh,2017,7,1023181.2,1019962.08,2818.98,400.14,3183840
Andhra Pradesh,2017,8,926321.24,923914.83,2032.54,373.87,3183840
Andhra Pradesh,2017,9,621384.95,618822.34,2417.11,145.49,3183840
Andhra Pradesh,2017,10,832664.38,830323.78,2220.38,120.23,3183840
Andhra Pradesh,2017,11,815012.75,813572.24,1178.1,262.4,3183840
Andhra Pradesh,2017,12,806788.15,803378.51,3144.32,265.32,3183840
Andhra Pradesh,2018,1,854092.61,852560.8,1221.24,310.57,3215054
Andhra Pradesh,2018,2,1041822.44,1039850.86,1775.46,196.12,3215054
Andhra Pradesh,2018,3,816622.65,813182.06,3032.0,408.59,3215054
Andhra Pradesh,2018,4,989004.55,985462.93,2779.32,762.3,3215054
Andhra Pradesh,2018,5,1296570.22,1293899.75,2449.06,221.41,3215054
Andhra Pradesh,2018,6,1240079.75,1237632.9,2325.24,121.61,3215054
Andhra Pradesh,2018,7,727731.72,724175.75,2931.57,624.4,3215054
Andhra Pradesh,2018,8,733669.08,730727.8,2651.45,289.84,3215054
Andhra Pradesh,2018,9,738012.89,734505.57,2888.1,619.22,3215054
Andhra Pradesh,2018,10,829455.94,828177.81,1119.27,158.86,3215054
Andhra Pradesh,2018,11,708226.65,706439.5,1403.87,383.27,3215054
Andhra Pradesh,2018,12,935700.35,932394.29,2812.09,493.97,3215054
Andhra Pradesh,2019,1,990886.56,988436.75,2186.95,262.86,3246268
Andhra Pradesh,2019,2,743525.42,741171.61,2151.02,202.79,3246268
Andhra Pradesh,2019,3,1342300.5,1339089.81,3046.59,164.1,3246268
